,Down_Weight,Neutral_Weight,Up_Weight
Topic_0,0.08640301371156557,-0.011717917088628653,-0.0746850966229374
Topic_1,-0.19056322592852715,0.25968278636637543,-0.0691195604378486
Topic_2,0.1122748012217799,-0.08038692786044087,-0.031887873361339095
Topic_3,-0.18302556684817253,0.17401400172173515,0.009011565126437771
Topic_4,0.09575169881421185,-0.15591121473858563,0.06015951592437386
Topic_5,0.07903615014928103,-0.05389022352608667,-0.025145926623195057
Topic_6,-0.07135263928240859,0.13362473350396042,-0.06227209422155186
Topic_7,-0.10414397110288057,0.16998599484023008,-0.06584202373734956
Topic_8,0.11116888765750689,-0.14963956449079094,0.03847067683328406
Topic_9,0.1398070265368668,-0.2611978959901244,0.12139086945325815
